Numéro_Commande,ID_Client,Date_Commande,Statut_Commande,Prix_Produit,Frais_Livraison,Nom_Produit,Catégorie_Produit,Pays
CMD101492,CLT8867,2022-03-04 04:00:00,livrée,120.31,26.11,Clavier Mécanique,Téléphonie,France
CMD101493,CLT5109,2022-03-04 05:00:00,livrée,434.25,12.95,Smartphone 5G,Téléphonie,Belgique
CMD101494,CLT8179,2022-03-04 06:00:00,livrée,85.0,14.6,Clavier Mécanique,Accessoires,France
CMD101495,CLT2560,2022-03-04 07:00:00,en attente,317.58,2.46,Smartphone 5G,Téléphonie,France
CMD101496,CLT2266,2022-03-04 08:00:00,livrée,462.01,1.27,Clavier Mécanique,Accessoires,France
CMD101497,CLT4638,2022-03-04 09:00:00,livrée,338.83,14.06,Souris Gaming,Audio/vidéo,Suisse
CMD101498,CLT9941,2022-03-04 10:00:00,en attente,101.86,25.3,PC Portable,Informatique,Suisse
CMD101499,CLT4427,2022-03-04 11:00:00,livrée,80.38,27.94,Clavier Mécanique,Informatique,Belgique
CMD101500,CLT5780,2022-03-04 12:00:00,en attente,129.89,19.76,Casque Bluetooth,Audio/vidéo,France
CMD101501,CLT2927,2022-03-04 13:00:00,livrée,198.75,24.79,Smartphone 5G,Informatique,France
CMD101502,CLT3356,2022-03-04 14:00:00,livrée,83.78,22.05,Smartphone 5G,Accessoires,France
CMD101503,CLT5790,2022-03-04 15:00:00,livrée,399.92,21.04,Clavier Mécanique,Audio/vidéo,Belgique
CMD101504,CLT1306,2022-03-04 16:00:00,expédiée,181.73,23.07,Smartphone 5G,Accessoires,France
CMD101505,CLT8979,2022-03-04 17:00:00,livrée,468.36,15.16,Casque Bluetooth,Informatique,Belgique
CMD101506,CLT4665,2022-03-04 18:00:00,en attente,422.03,13.74,Souris Gaming,Accessoires,France
CMD101507,CLT8057,2022-03-04 19:00:00,livrée,454.87,4.77,PC Portable,Téléphonie,France
CMD101508,CLT1661,2022-03-04 20:00:00,expédiée,150.77,25.31,PC Portable,Informatique,France
CMD101509,CLT5644,2022-03-04 21:00:00,livrée,289.0,1.34,Smartphone 5G,Téléphonie,France
CMD101510,CLT9503,2022-03-04 22:00:00,livrée,164.12,8.02,Clavier Mécanique,Téléphonie,France
CMD101511,CLT3920,2022-03-04 23:00:00,en attente,132.19,15.6,Smartphone 5G,Audio/vidéo,France
CMD101512,CLT9946,2022-03-05 00:00:00,en attente,305.51,29.15,Casque Bluetooth,Audio/vidéo,Suisse
CMD101513,CLT7236,2022-03-05 01:00:00,livrée,409.91,23.58,Webcam HD,Accessoires,Belgique
CMD101514,CLT7078,2022-03-05 02:00:00,livrée,51.33,11.06,Clavier Mécanique,Accessoires,France
CMD101515,CLT1352,2022-03-05 03:00:00,livrée,141.51,21.42,Souris Gaming,Informatique,France
CMD101516,CLT8005,2022-03-05 04:00:00,livrée,106.54,27.94,Casque Bluetooth,Accessoires,France
CMD101517,CLT1158,2022-03-05 05:00:00,livrée,400.18,16.17,Souris Gaming,Accessoires,France
CMD101518,CLT1956,2022-03-05 06:00:00,livrée,467.02,13.86,Clavier Mécanique,Audio/vidéo,France
CMD101519,CLT3071,2022-03-05 07:00:00,livrée,44.57,16.59,Souris Gaming,Audio/vidéo,Belgique
CMD101520,CLT9595,2022-03-05 08:00:00,expédiée,192.71,9.35,Casque Bluetooth,Téléphonie,France
CMD101521,CLT4453,2022-03-05 09:00:00,livrée,457.68,27.22,Casque Bluetooth,Accessoires,France
CMD101522,CLT7675,2022-03-05 10:00:00,livrée,175.6,23.92,Smartphone 5G,Audio/vidéo,France
CMD101523,CLT1955,2022-03-05 11:00:00,livrée,357.77,21.16,Webcam HD,Informatique,France
CMD101524,CLT7295,2022-03-05 12:00:00,livrée,54.83,17.67,Clavier Mécanique,Accessoires,Canada
CMD101525,CLT2712,2022-03-05 13:00:00,livrée,224.97,29.08,PC Portable,Informatique,Belgique
CMD101526,CLT5703,2022-03-05 14:00:00,livrée,254.13,8.93,Webcam HD,Téléphonie,France
CMD101527,CLT7563,2022-03-05 15:00:00,livrée,380.04,8.49,PC Portable,Téléphonie,France
CMD101528,CLT6631,2022-03-05 16:00:00,expédiée,147.97,7.26,Souris Gaming,Audio/vidéo,Belgique
CMD101529,CLT2394,2022-03-05 17:00:00,livrée,135.77,22.25,PC Portable,Audio/vidéo,France
CMD101530,CLT5732,2022-03-05 18:00:00,en attente,154.97,23.92,PC Portable,Téléphonie,France
CMD101531,CLT4714,2022-03-05 19:00:00,expédiée,280.07,17.91,Casque Bluetooth,Informatique,France
CMD101532,CLT1529,2022-03-05 20:00:00,expédiée,438.62,19.56,Casque Bluetooth,Téléphonie,France
CMD101533,CLT3958,2022-03-05 21:00:00,livrée,416.32,10.47,Casque Bluetooth,Téléphonie,France
CMD101534,CLT8904,2022-03-05 22:00:00,livrée,33.68,1.19,PC Portable,Audio/vidéo,Belgique
CMD101535,CLT4591,2022-03-05 23:00:00,livrée,440.08,7.61,Souris Gaming,Accessoires,France
CMD101536,CLT7895,2022-03-06 00:00:00,livrée,52.08,17.53,Clavier Mécanique,Audio/vidéo,Belgique
CMD101537,CLT1525,2022-03-06 01:00:00,livrée,210.6,24.39,Smartphone 5G,Audio/vidéo,Canada
CMD101538,CLT7477,2022-03-06 02:00:00,livrée,383.88,23.32,Souris Gaming,Informatique,France
CMD101539,CLT1001,2022-03-06 03:00:00,livrée,45.35,5.38,Casque Bluetooth,Téléphonie,France
CMD101540,CLT1374,2022-03-06 04:00:00,livrée,25.0,1.54,Souris Gaming,Accessoires,France
CMD101541,CLT5648,2022-03-06 05:00:00,livrée,168.35,25.52,Clavier Mécanique,Accessoires,Belgique
CMD101542,CLT3365,2022-03-06 06:00:00,annulée,366.31,2.27,Webcam HD,Audio/vidéo,France
CMD101543,CLT2525,2022-03-06 07:00:00,livrée,263.27,11.8,Casque Bluetooth,Audio/vidéo,Belgique
CMD101544,CLT2646,2022-03-06 08:00:00,livrée,211.42,2.83,Clavier Mécanique,Téléphonie,France
CMD101545,CLT1013,2022-03-06 09:00:00,livrée,407.47,16.92,Webcam HD,Informatique,Suisse
CMD101546,CLT5599,2022-03-06 10:00:00,expédiée,384.52,10.9,Smartphone 5G,Téléphonie,Belgique
CMD101547,CLT3278,2022-03-06 11:00:00,livrée,394.09,6.07,Souris Gaming,Accessoires,France
CMD101548,CLT4155,2022-03-06 12:00:00,livrée,232.56,17.86,Smartphone 5G,Informatique,France
CMD101549,CLT9321,2022-03-06 13:00:00,livrée,14.63,10.9,PC Portable,Audio/vidéo,France
CMD101550,CLT4814,2022-03-06 14:00:00,livrée,90.21,5.0,Souris Gaming,Audio/vidéo,France
CMD101551,CLT4216,2022-03-06 15:00:00,livrée,371.94,21.0,Webcam HD,Accessoires,France
CMD101552,CLT9219,2022-03-06 16:00:00,expédiée,377.82,25.1,PC Portable,Téléphonie,Canada
CMD101553,CLT3113,2022-03-06 17:00:00,expédiée,486.29,8.21,Clavier Mécanique,Informatique,Suisse
CMD101554,CLT5356,2022-03-06 18:00:00,expédiée,99.14,5.59,PC Portable,Téléphonie,France
CMD101555,CLT6543,2022-03-06 19:00:00,expédiée,65.85,2.26,Webcam HD,Téléphonie,France
CMD101556,CLT5555,2022-03-06 20:00:00,livrée,73.7,15.84,Webcam HD,Téléphonie,France
CMD101557,CLT8062,2022-03-06 21:00:00,expédiée,96.47,24.94,Clavier Mécanique,Audio/vidéo,France
CMD101558,CLT4374,2022-03-06 22:00:00,livrée,266.59,7.52,Smartphone 5G,Accessoires,France
CMD101559,CLT7430,2022-03-06 23:00:00,livrée,487.73,13.82,Casque Bluetooth,Informatique,Belgique
CMD101560,CLT4466,2022-03-07 00:00:00,livrée,296.77,4.82,Smartphone 5G,Informatique,Belgique
CMD101561,CLT4081,2022-03-07 01:00:00,livrée,263.73,12.13,PC Portable,Accessoires,Canada
CMD101562,CLT1629,2022-03-07 02:00:00,livrée,338.31,0.46,Clavier Mécanique,Informatique,France
CMD101563,CLT1269,2022-03-07 03:00:00,livrée,41.6,27.32,PC Portable,Informatique,France
CMD101564,CLT6724,2022-03-07 04:00:00,livrée,408.6,20.3,Webcam HD,Téléphonie,Belgique
CMD101565,CLT6897,2022-03-07 05:00:00,expédiée,325.21,9.98,Casque Bluetooth,Téléphonie,France
CMD101566,CLT4432,2022-03-07 06:00:00,livrée,89.74,26.44,Souris Gaming,Accessoires,Belgique
CMD101567,CLT7276,2022-03-07 07:00:00,livrée,317.2,5.49,Souris Gaming,Informatique,France
CMD101568,CLT6895,2022-03-07 08:00:00,expédiée,300.12,2.36,Souris Gaming,Accessoires,Belgique
CMD101569,CLT8115,2022-03-07 09:00:00,livrée,37.1,28.28,PC Portable,Accessoires,Belgique
CMD101570,CLT7656,2022-03-07 10:00:00,expédiée,137.13,9.27,Souris Gaming,Accessoires,France
CMD101571,CLT1575,2022-03-07 11:00:00,livrée,198.52,28.08,Clavier Mécanique,Accessoires,France
CMD101572,CLT8029,2022-03-07 12:00:00,en attente,126.22,19.13,Casque Bluetooth,Téléphonie,France
CMD101573,CLT7099,2022-03-07 13:00:00,livrée,125.37,29.4,Webcam HD,Audio/vidéo,France
CMD101574,CLT4192,2022-03-07 14:00:00,livrée,288.61,22.6,Smartphone 5G,Accessoires,France
CMD101575,CLT4178,2022-03-07 15:00:00,livrée,238.08,3.16,Webcam HD,Informatique,France
CMD101576,CLT7052,2022-03-07 16:00:00,livrée,335.31,25.57,Clavier Mécanique,Audio/vidéo,Suisse
CMD101577,CLT3734,2022-03-07 17:00:00,en attente,478.42,4.44,Casque Bluetooth,Téléphonie,France
CMD101578,CLT7116,2022-03-07 18:00:00,livrée,331.98,20.77,Smartphone 5G,Audio/vidéo,France
CMD101579,CLT4568,2022-03-07 19:00:00,livrée,293.14,15.01,Souris Gaming,Audio/vidéo,Canada
CMD101580,CLT3203,2022-03-07 20:00:00,livrée,424.54,21.23,Smartphone 5G,Téléphonie,France
CMD101581,CLT2390,2022-03-07 21:00:00,expédiée,317.88,22.95,PC Portable,Accessoires,Canada
CMD101582,CLT2742,2022-03-07 22:00:00,livrée,86.95,24.11,PC Portable,Audio/vidéo,France
CMD101583,CLT2925,2022-03-07 23:00:00,annulée,160.8,25.05,Souris Gaming,Téléphonie,Belgique
CMD101584,CLT1619,2022-03-08 00:00:00,livrée,368.01,25.42,Souris Gaming,Téléphonie,Canada
CMD101585,CLT2274,2022-03-08 01:00:00,livrée,370.5,12.38,Clavier Mécanique,Audio/vidéo,Belgique
CMD101586,CLT1956,2022-03-08 02:00:00,livrée,493.57,26.68,Clavier Mécanique,Téléphonie,Canada
CMD101587,CLT2939,2022-03-08 03:00:00,expédiée,315.35,21.59,Webcam HD,Audio/vidéo,France
CMD101588,CLT4953,2022-03-08 04:00:00,expédiée,450.27,25.17,PC Portable,Audio/vidéo,France
CMD101589,CLT1968,2022-03-08 05:00:00,livrée,32.02,29.68,Casque Bluetooth,Téléphonie,France
CMD101590,CLT1281,2022-03-08 06:00:00,livrée,285.28,3.49,Clavier Mécanique,Téléphonie,France
CMD101591,CLT7262,2022-03-08 07:00:00,expédiée,460.32,11.12,Casque Bluetooth,Téléphonie,France
CMD101592,CLT2058,2022-03-08 08:00:00,livrée,147.19,24.2,Webcam HD,Audio/vidéo,Suisse
CMD101593,CLT5293,2022-03-08 09:00:00,livrée,81.66,2.59,PC Portable,Informatique,France
CMD101594,CLT6178,2022-03-08 10:00:00,livrée,178.5,16.22,Clavier Mécanique,Téléphonie,Canada
CMD101595,CLT7980,2022-03-08 11:00:00,livrée,397.16,25.75,Casque Bluetooth,Téléphonie,Canada
CMD101596,CLT2229,2022-03-08 12:00:00,livrée,46.93,0.57,Webcam HD,Accessoires,France
CMD101597,CLT5585,2022-03-08 13:00:00,livrée,302.17,28.19,Casque Bluetooth,Téléphonie,France
CMD101598,CLT9467,2022-03-08 14:00:00,livrée,72.14,29.34,Clavier Mécanique,Audio/vidéo,France
CMD101599,CLT3740,2022-03-08 15:00:00,expédiée,220.59,9.67,Souris Gaming,Téléphonie,France
CMD101600,CLT3289,2022-03-08 16:00:00,livrée,483.16,23.0,Webcam HD,Accessoires,France
CMD101601,CLT2239,2022-03-08 17:00:00,expédiée,101.6,3.82,Webcam HD,Informatique,Belgique
CMD101602,CLT6370,2022-03-08 18:00:00,livrée,21.84,23.19,Smartphone 5G,Informatique,France
CMD101603,CLT1125,2022-03-08 19:00:00,livrée,216.47,14.45,Souris Gaming,Téléphonie,France
CMD101604,CLT8473,2022-03-08 20:00:00,livrée,290.96,25.81,Webcam HD,Informatique,France
CMD101605,CLT6342,2022-03-08 21:00:00,expédiée,152.27,6.38,Smartphone 5G,Audio/vidéo,France
CMD101606,CLT8351,2022-03-08 22:00:00,livrée,273.18,20.18,Casque Bluetooth,Informatique,Canada
CMD101607,CLT7638,2022-03-08 23:00:00,expédiée,476.93,23.58,Clavier Mécanique,Audio/vidéo,Suisse
CMD101608,CLT7570,2022-03-09 00:00:00,livrée,159.33,6.07,Webcam HD,Informatique,Canada
CMD101609,CLT4249,2022-03-09 01:00:00,livrée,158.17,24.55,PC Portable,Informatique,France
CMD101610,CLT8595,2022-03-09 02:00:00,en attente,243.97,28.74,Clavier Mécanique,Audio/vidéo,France
CMD101611,CLT7294,2022-03-09 03:00:00,livrée,260.08,18.48,Souris Gaming,Audio/vidéo,France
CMD101612,CLT7527,2022-03-09 04:00:00,livrée,5.68,23.55,Smartphone 5G,Téléphonie,France
CMD101613,CLT6757,2022-03-09 05:00:00,en attente,309.86,15.98,Clavier Mécanique,Audio/vidéo,France
CMD101614,CLT2969,2022-03-09 06:00:00,livrée,498.69,17.94,Smartphone 5G,Téléphonie,France
CMD101615,CLT1891,2022-03-09 07:00:00,livrée,149.54,0.4,Souris Gaming,Accessoires,France
CMD101616,CLT5470,2022-03-09 08:00:00,annulée,317.25,15.73,Souris Gaming,Audio/vidéo,France
CMD101617,CLT8175,2022-03-09 09:00:00,livrée,7.29,17.27,Clavier Mécanique,Téléphonie,Suisse
CMD101618,CLT9320,2022-03-09 10:00:00,expédiée,304.14,20.1,Webcam HD,Téléphonie,France
CMD101619,CLT7812,2022-03-09 11:00:00,livrée,226.3,5.08,PC Portable,Informatique,France
CMD101620,CLT8519,2022-03-09 12:00:00,expédiée,267.5,7.24,Webcam HD,Audio/vidéo,Canada
CMD101621,CLT5612,2022-03-09 13:00:00,livrée,274.23,22.68,PC Portable,Informatique,Canada
CMD101622,CLT2198,2022-03-09 14:00:00,annulée,92.59,5.03,Smartphone 5G,Téléphonie,Belgique
CMD101623,CLT6238,2022-03-09 15:00:00,livrée,386.13,12.48,Clavier Mécanique,Audio/vidéo,France
CMD101624,CLT7089,2022-03-09 16:00:00,livrée,279.96,7.51,Casque Bluetooth,Téléphonie,France
CMD101625,CLT7257,2022-03-09 17:00:00,livrée,138.75,16.36,Souris Gaming,Informatique,France
CMD101626,CLT8705,2022-03-09 18:00:00,livrée,469.0,29.61,Webcam HD,Téléphonie,France
CMD101627,CLT4719,2022-03-09 19:00:00,expédiée,11.32,25.56,Smartphone 5G,Téléphonie,Canada
CMD101628,CLT1302,2022-03-09 20:00:00,expédiée,364.34,8.08,Souris Gaming,Informatique,Belgique
CMD101629,CLT1986,2022-03-09 21:00:00,livrée,193.71,11.06,Smartphone 5G,Audio/vidéo,France
CMD101630,CLT5440,2022-03-09 22:00:00,expédiée,263.66,27.56,Clavier Mécanique,Informatique,France
CMD101631,CLT5909,2022-03-09 23:00:00,livrée,149.3,26.95,Smartphone 5G,Audio/vidéo,France
CMD101632,CLT4072,2022-03-10 00:00:00,livrée,164.02,4.82,Smartphone 5G,Audio/vidéo,Belgique
CMD101633,CLT4124,2022-03-10 01:00:00,livrée,12.51,24.88,Casque Bluetooth,Accessoires,France
CMD101634,CLT9125,2022-03-10 02:00:00,livrée,366.27,8.93,Smartphone 5G,Téléphonie,France
CMD101635,CLT4291,2022-03-10 03:00:00,livrée,356.85,16.31,PC Portable,Audio/vidéo,France
CMD101636,CLT5033,2022-03-10 04:00:00,expédiée,328.91,0.15,Smartphone 5G,Audio/vidéo,France
CMD101637,CLT6105,2022-03-10 05:00:00,livrée,439.59,29.96,Smartphone 5G,Informatique,France
CMD101638,CLT1703,2022-03-10 06:00:00,livrée,451.13,22.83,Clavier Mécanique,Audio/vidéo,France
CMD101639,CLT9133,2022-03-10 07:00:00,livrée,280.44,7.25,Smartphone 5G,Audio/vidéo,France
CMD101640,CLT1574,2022-03-10 08:00:00,expédiée,343.99,20.51,Casque Bluetooth,Informatique,France
CMD101641,CLT6704,2022-03-10 09:00:00,livrée,10.44,8.8,Clavier Mécanique,Audio/vidéo,Suisse
CMD101642,CLT8848,2022-03-10 10:00:00,livrée,423.94,2.68,Souris Gaming,Téléphonie,Belgique
CMD101643,CLT6208,2022-03-10 11:00:00,livrée,409.12,12.76,PC Portable,Téléphonie,France
CMD101644,CLT7924,2022-03-10 12:00:00,expédiée,15.02,18.41,PC Portable,Informatique,France
CMD101645,CLT4828,2022-03-10 13:00:00,livrée,273.7,2.69,Souris Gaming,Audio/vidéo,France
CMD101646,CLT4230,2022-03-10 14:00:00,expédiée,453.79,15.55,Smartphone 5G,Téléphonie,France
CMD101647,CLT1488,2022-03-10 15:00:00,livrée,94.79,15.45,Casque Bluetooth,Accessoires,France
CMD101648,CLT8114,2022-03-10 16:00:00,expédiée,179.56,18.86,Casque Bluetooth,Informatique,France
CMD101649,CLT4173,2022-03-10 17:00:00,livrée,168.87,7.34,Casque Bluetooth,Informatique,Suisse
CMD101650,CLT2667,2022-03-10 18:00:00,livrée,181.19,0.62,Casque Bluetooth,Téléphonie,France
CMD101651,CLT5114,2022-03-10 19:00:00,livrée,25.73,9.75,Smartphone 5G,Informatique,France
CMD101652,CLT4553,2022-03-10 20:00:00,livrée,143.11,11.96,Souris Gaming,Audio/vidéo,France
CMD101653,CLT8761,2022-03-10 21:00:00,livrée,150.95,19.07,Souris Gaming,Téléphonie,France
CMD101654,CLT2000,2022-03-10 22:00:00,en attente,433.61,27.91,PC Portable,Accessoires,France
CMD101655,CLT2388,2022-03-10 23:00:00,en attente,179.3,6.1,Souris Gaming,Audio/vidéo,France
CMD101656,CLT6450,2022-03-11 00:00:00,expédiée,226.37,20.62,Casque Bluetooth,Accessoires,France
CMD101657,CLT4712,2022-03-11 01:00:00,livrée,193.47,2.92,Smartphone 5G,Accessoires,France
CMD101658,CLT2367,2022-03-11 02:00:00,livrée,64.73,5.72,Clavier Mécanique,Informatique,Canada
CMD101659,CLT9189,2022-03-11 03:00:00,livrée,495.23,15.27,Clavier Mécanique,Accessoires,Canada
CMD101660,CLT1454,2022-03-11 04:00:00,livrée,413.78,21.25,Casque Bluetooth,Audio/vidéo,Canada
CMD101661,CLT3772,2022-03-11 05:00:00,en attente,272.76,25.76,Webcam HD,Téléphonie,France
CMD101662,CLT4726,2022-03-11 06:00:00,livrée,240.8,22.32,PC Portable,Téléphonie,France
CMD101663,CLT8232,2022-03-11 07:00:00,annulée,326.38,0.46,Clavier Mécanique,Accessoires,France
CMD101664,CLT5806,2022-03-11 08:00:00,livrée,166.58,20.52,Webcam HD,Accessoires,Suisse
CMD101665,CLT3190,2022-03-11 09:00:00,expédiée,29.89,24.74,Casque Bluetooth,Téléphonie,France
CMD101666,CLT3875,2022-03-11 10:00:00,livrée,205.14,15.77,Smartphone 5G,Accessoires,France
CMD101667,CLT6592,2022-03-11 11:00:00,expédiée,492.07,28.97,Clavier Mécanique,Audio/vidéo,Belgique
CMD101668,CLT2440,2022-03-11 12:00:00,livrée,95.26,0.13,Casque Bluetooth,Accessoires,France
CMD101669,CLT9927,2022-03-11 13:00:00,livrée,266.21,24.56,Clavier Mécanique,Accessoires,Canada
CMD101670,CLT7059,2022-03-11 14:00:00,expédiée,9.22,10.04,Smartphone 5G,Audio/vidéo,Suisse
CMD101671,CLT8010,2022-03-11 15:00:00,livrée,65.41,19.51,Souris Gaming,Téléphonie,Suisse
CMD101672,CLT8117,2022-03-11 16:00:00,livrée,295.66,20.8,Souris Gaming,Téléphonie,France
CMD101673,CLT3989,2022-03-11 17:00:00,livrée,152.22,9.19,Smartphone 5G,Accessoires,France
CMD101674,CLT7228,2022-03-11 18:00:00,livrée,453.31,29.86,Smartphone 5G,Téléphonie,France
CMD101675,CLT7471,2022-03-11 19:00:00,livrée,206.05,3.1,Souris Gaming,Audio/vidéo,France
CMD101676,CLT3863,2022-03-11 20:00:00,livrée,107.98,4.71,Smartphone 5G,Accessoires,France
CMD101677,CLT2177,2022-03-11 21:00:00,livrée,275.07,26.77,Smartphone 5G,Accessoires,France
CMD101678,CLT5760,2022-03-11 22:00:00,livrée,398.51,3.58,Smartphone 5G,Accessoires,France
CMD101679,CLT1011,2022-03-11 23:00:00,livrée,14.61,11.44,Souris Gaming,Informatique,France
CMD101680,CLT6252,2022-03-12 00:00:00,livrée,255.23,21.99,Souris Gaming,Informatique,France
CMD101681,CLT5399,2022-03-12 01:00:00,expédiée,387.85,23.74,Webcam HD,Audio/vidéo,Suisse
CMD101682,CLT9234,2022-03-12 02:00:00,expédiée,56.28,28.64,Clavier Mécanique,Accessoires,Belgique
CMD101683,CLT6445,2022-03-12 03:00:00,livrée,451.89,23.69,Souris Gaming,Audio/vidéo,Belgique
CMD101684,CLT7570,2022-03-12 04:00:00,livrée,135.94,25.34,Clavier Mécanique,Informatique,France
CMD101685,CLT9212,2022-03-12 05:00:00,livrée,89.45,28.48,Souris Gaming,Accessoires,France
CMD101686,CLT1406,2022-03-12 06:00:00,expédiée,296.68,16.61,PC Portable,Informatique,France
CMD101687,CLT5431,2022-03-12 07:00:00,livrée,91.64,10.3,Clavier Mécanique,Accessoires,France
CMD101688,CLT6243,2022-03-12 08:00:00,livrée,341.45,22.85,Smartphone 5G,Audio/vidéo,France
CMD101689,CLT7542,2022-03-12 09:00:00,livrée,247.6,4.91,PC Portable,Audio/vidéo,Canada
CMD101690,CLT7936,2022-03-12 10:00:00,livrée,59.43,2.05,Webcam HD,Audio/vidéo,France
CMD101691,CLT9906,2022-03-12 11:00:00,livrée,456.68,23.56,Souris Gaming,Informatique,France
CMD101692,CLT5146,2022-03-12 12:00:00,livrée,338.24,28.52,Souris Gaming,Audio/vidéo,Canada
CMD101693,CLT1140,2022-03-12 13:00:00,livrée,275.27,13.27,Webcam HD,Téléphonie,Canada
CMD101694,CLT5882,2022-03-12 14:00:00,livrée,190.3,4.83,PC Portable,Téléphonie,France
CMD101695,CLT7012,2022-03-12 15:00:00,livrée,71.76,14.91,Casque Bluetooth,Audio/vidéo,France
CMD101696,CLT1963,2022-03-12 16:00:00,en attente,355.22,11.8,Smartphone 5G,Audio/vidéo,France
CMD101697,CLT8151,2022-03-12 17:00:00,livrée,407.76,11.17,Clavier Mécanique,Informatique,France
CMD101698,CLT9564,2022-03-12 18:00:00,livrée,67.28,18.84,PC Portable,Accessoires,Belgique
CMD101699,CLT4610,2022-03-12 19:00:00,livrée,249.81,5.24,Clavier Mécanique,Informatique,France
CMD101700,CLT7894,2022-03-12 20:00:00,livrée,245.0,11.41,Souris Gaming,Informatique,France
CMD101701,CLT8311,2022-03-12 21:00:00,livrée,178.21,26.06,Casque Bluetooth,Audio/vidéo,France
CMD101702,CLT1105,2022-03-12 22:00:00,livrée,395.72,21.89,Webcam HD,Téléphonie,France
CMD101703,CLT6539,2022-03-12 23:00:00,expédiée,54.27,1.67,Casque Bluetooth,Téléphonie,France
CMD101704,CLT7787,2022-03-13 00:00:00,livrée,106.48,15.42,Clavier Mécanique,Téléphonie,France
CMD101705,CLT3137,2022-03-13 01:00:00,livrée,5.79,2.74,Webcam HD,Informatique,France
CMD101706,CLT5445,2022-03-13 02:00:00,livrée,189.63,28.72,Souris Gaming,Téléphonie,Belgique
CMD101707,CLT4530,2022-03-13 03:00:00,livrée,149.13,7.34,Webcam HD,Téléphonie,France
CMD101708,CLT2286,2022-03-13 04:00:00,en attente,434.16,27.98,Webcam HD,Audio/vidéo,France
CMD101709,CLT8052,2022-03-13 05:00:00,livrée,374.18,25.02,Casque Bluetooth,Téléphonie,France
CMD101710,CLT4654,2022-03-13 06:00:00,livrée,46.81,16.54,Smartphone 5G,Accessoires,Suisse
CMD101711,CLT8102,2022-03-13 07:00:00,expédiée,371.77,10.09,Souris Gaming,Audio/vidéo,Canada
CMD101712,CLT3359,2022-03-13 08:00:00,expédiée,339.32,25.74,PC Portable,Accessoires,Belgique
CMD101713,CLT9105,2022-03-13 09:00:00,livrée,144.45,4.58,PC Portable,Informatique,France
CMD101714,CLT9636,2022-03-13 10:00:00,livrée,12.65,5.4,PC Portable,Téléphonie,France
CMD101715,CLT7441,2022-03-13 11:00:00,livrée,62.01,6.74,Smartphone 5G,Informatique,France
CMD101716,CLT6047,2022-03-13 12:00:00,livrée,128.72,17.93,Souris Gaming,Informatique,France
CMD101717,CLT9227,2022-03-13 13:00:00,expédiée,409.23,9.43,Webcam HD,Téléphonie,France
CMD101718,CLT6203,2022-03-13 14:00:00,livrée,235.33,29.68,Clavier Mécanique,Audio/vidéo,France
CMD101719,CLT2798,2022-03-13 15:00:00,livrée,459.61,5.85,Clavier Mécanique,Informatique,France
CMD101720,CLT6291,2022-03-13 16:00:00,livrée,395.63,24.17,Souris Gaming,Téléphonie,France
CMD101721,CLT6495,2022-03-13 17:00:00,livrée,147.12,2.88,Smartphone 5G,Téléphonie,France
CMD101722,CLT7284,2022-03-13 18:00:00,livrée,423.45,10.6,Souris Gaming,Accessoires,Belgique
CMD101723,CLT8285,2022-03-13 19:00:00,en attente,62.78,7.31,Clavier Mécanique,Informatique,France
CMD101724,CLT2300,2022-03-13 20:00:00,livrée,22.88,29.31,Souris Gaming,Informatique,France
CMD101725,CLT7869,2022-03-13 21:00:00,livrée,306.23,0.77,PC Portable,Téléphonie,France
CMD101726,CLT4097,2022-03-13 22:00:00,en attente,174.16,21.65,Webcam HD,Accessoires,Suisse
CMD101727,CLT5616,2022-03-13 23:00:00,livrée,168.07,7.43,Souris Gaming,Audio/vidéo,France
CMD101728,CLT1009,2022-03-14 00:00:00,expédiée,345.17,24.34,Webcam HD,Accessoires,France
CMD101729,CLT6752,2022-03-14 01:00:00,livrée,425.8,9.34,Casque Bluetooth,Informatique,France
CMD101730,CLT7295,2022-03-14 02:00:00,livrée,164.48,5.62,Souris Gaming,Accessoires,France
CMD101731,CLT5815,2022-03-14 03:00:00,livrée,165.88,20.79,Clavier Mécanique,Informatique,France
CMD101732,CLT2072,2022-03-14 04:00:00,expédiée,269.26,7.73,Clavier Mécanique,Audio/vidéo,France
CMD101733,CLT4225,2022-03-14 05:00:00,livrée,328.33,14.57,Webcam HD,Informatique,France
CMD101734,CLT2316,2022-03-14 06:00:00,livrée,105.44,3.95,Clavier Mécanique,Audio/vidéo,France
CMD101735,CLT6699,2022-03-14 07:00:00,expédiée,456.78,21.74,PC Portable,Audio/vidéo,France
CMD101736,CLT7807,2022-03-14 08:00:00,livrée,328.94,12.21,Clavier Mécanique,Audio/vidéo,France
CMD101737,CLT7674,2022-03-14 09:00:00,livrée,314.46,4.22,Casque Bluetooth,Accessoires,France
CMD101738,CLT4683,2022-03-14 10:00:00,livrée,452.58,22.25,Souris Gaming,Audio/vidéo,France
CMD101739,CLT8227,2022-03-14 11:00:00,livrée,454.1,3.1,Smartphone 5G,Téléphonie,Canada
CMD101740,CLT4273,2022-03-14 12:00:00,livrée,72.1,17.24,Clavier Mécanique,Informatique,France
CMD101741,CLT8000,2022-03-14 13:00:00,livrée,76.81,18.22,Souris Gaming,Informatique,France
CMD101742,CLT1145,2022-03-14 14:00:00,en attente,382.16,27.91,PC Portable,Informatique,France
CMD101743,CLT6010,2022-03-14 15:00:00,expédiée,478.66,4.53,Souris Gaming,Informatique,France
